C:\SVN\TC\Simplex\non-dita\Datasheets\International\A0001-0001\A0001-0001.docx,Series 600 Heat Detectors for two-wire bases  fixed temperature and fixed temperature with rate-of-rise , International Products - Smoke and Heat Detectors 601H-RF-UL  601H-F-UL  631H-F-UL
C:\SVN\TC\Simplex\non-dita\Datasheets\International\A0001-0002\A0001-0002.docx,Series 600 Ionization Smoke Detectors for two-wire bases , International Products - Smoke and Heat Detectors 601I-ULC
C:\SVN\TC\Simplex\non-dita\Datasheets\International\A0001-0003\A0001-0003.docx,Series 600 High Performance Photo/Heat Detector for two-wire bases , International Products - Smoke and Heat Detectors 601PH-UL  601PH-UL-L
C:\SVN\TC\Simplex\non-dita\Datasheets\International\A0001-0004\A0001-0004.docx,Series 600 Optical Smoke Detectors for two-wire bases , International Products - Smoke and Heat Detectors 601P-UL  601P-UL-L
C:\SVN\TC\Simplex\non-dita\Datasheets\International\A0001-0006\A0001-0006.docx,IDNet Communicating Devices  Internal Addressable Callpoint   , International Products - IDNet Addressable Devices  4099-9701  4099-9702  4099-9703  4099-9704  CN4099-9032
C:\SVN\TC\Simplex\non-dita\Datasheets\International\A0001-0007\A0001-0007.docx,IDNet Communicating Devices  External Manual Callpoint   , International Products - IDNet Addressable Devices  4099-9707
C:\SVN\TC\Simplex\non-dita\Datasheets\Reference\ADV-1068\ADV-1068.docx,Detection of Electrical Cable Fires ,Reference -Application Guides  
C:\SVN\TC\Simplex\non-dita\Datasheets\Misc_Devices_Kits\S1002-0001\S1002-0001.docx,Fire Alarm System Spare Parts Kits,System Accessories - Fire Alarm System Spare Parts Kits  - Addressable and Non-Addressable
C:\SVN\TC\Simplex\non-dita\Datasheets\Remote_Station\S2080-0008\S2080-0008.docx,Four Channel DACT, Remote Station Devices/DACT Reference  2080-9024  2080-9022  2080-9031
C:\SVN\TC\Simplex\non-dita\Datasheets\Remote_Station\S2080-0009\S2080-0009.docx,Panel Mounted Digital Alarm Communicating Transmitters with Serial Communications (SDACT)  , Remote Station Devices/DACT Reference  4100-6052  4100-6080  4010-9912  4010-9816
C:\SVN\TC\Simplex\non-dita\Datasheets\Releasing_Systems\S2080-0010\S2080-0010.docx,Releasing System Peripherals  Abort and Maintenance Switches   , Releasing Systems and Accessories     2080-9056  -9057  -9067  -9068  -9059  -9060  & -9061
C:\SVN\TC\Simplex\non-dita\Datasheets\Batteries_Cabinets_Chargers\S2081-0006\S2081-0006.docx,System Batteries  Sealed Lead-Acid  with Applications Reference for Battery Cabinets and Battery Cabinets with Charger    , Batteries  Battery Cabinets  and Chargers     2081-Series
C:\SVN\TC\Simplex\non-dita\Datasheets\Circuit_Protection_Intr_Safe\S2081-0007\S2081-0007.docx,200 mA Isolated Loop Circuit Protector (ILCP)   , Circuit Protection Devices     2081-9027
C:\SVN\TC\Simplex\non-dita\Datasheets\Circuit_Protection_Intr_Safe\S2081-0008\S2081-0008.docx,5 A Isolated Loop Circuit Protector (ILCP)   , Circuit Protection Devices     2081-9028
C:\SVN\TC\Simplex\non-dita\Datasheets\Batteries_Cabinets_Chargers\S2081-0012\S2081-0012.docx,System Batteries. Sealed Lead-Acid  110 Ah  , Batteries  Battery Cabinets  and Chargers     2081-9279  2081-9280
C:\SVN\TC\Simplex\non-dita\Datasheets\Circuit_Protection_Intr_Safe\S2081-0016\S2081-0016.docx,200 mA Overvoltage Protector for Communication & Signaling Circuits   , Circuit Protection Devices     2081-9044
C:\SVN\TC\Simplex\non-dita\Datasheets\Circuit_Protection_Intr_Safe\S2081-0018\S2081-0018.docx,Intrinsically Safe Single & Dual Isolated Barrier Modules , Intrinsically Safe Devices     2081-9062/9063
C:\SVN\TC\Simplex\non-dita\Datasheets\Batteries_Cabinets_Chargers\S2081-0019\S2081-0019.docx,Battery Brackets for Seismic Activity Applications , Batteries  Battery Cabinets  and Chargers     2081-9297  2081-9298  2081-9401  2081-9402  2081-9403
C:\SVN\TC\Simplex\non-dita\Datasheets\Firefighter_Telephones\S2084-0001\S2084-0001.docx,Remote Emergency Telephone Equipment , Fire Fighter's Telephones   2084 Series
C:\SVN\TC\Simplex\non-dita\Datasheets\Firefighter_Telephones\S2084-0002\S2084-0002.docx,4100U System Accessories  AUTOCALL CommFone upgrade kits  , Fire Fighter's Telephones   2084-9030  2084-9031
C:\SVN\TC\Simplex\non-dita\Datasheets\Misc_Devices_Kits\S2088-0010\S2088-0010.docx,Fire alarm control relays  Apollo America Inc. (formerly Air Products)   , Miscellaneous Devices and Spare Parts Kits  2088 Series & 4098-9843
C:\SVN\TC\Simplex\non-dita\Datasheets\Door_Holders\S2088-0014\S2088-0014.docx,RSG Door Holders  DH Model Series  24 VDC  24 VAC  and 120 VAC models, Door Holders/Closers     DH Series
C:\SVN\TC\Simplex\non-dita\Datasheets\Misc_Devices_Kits\S2096-0005\S2096-0005.docx,Code Card Holders, Miscellaneous Devices and Spare Parts Kits  2096 Series
C:\SVN\TC\Simplex\non-dita\Datasheets\Detector_Station_Wire_Guards\S2098-0023\S2098-0023.docx,Detector Wire Guard   , Wire Guards for Detectors and Manual Stations  2098-9715
C:\SVN\TC\Simplex\non-dita\Datasheets\Misc_Devices_Kits\S2098-0029\S2098-0029.docx,2098 Series End-of-Line Voltage Monitor Relays  Plate Mounted  24 VDC or 120 VAC   , Miscellaneous Devices and Spare Parts Kits  2098-9735  2098-9736
C:\SVN\TC\Simplex\non-dita\Datasheets\Detector_Station_Wire_Guards\S2099-0004\S2099-0004.docx,Station Wire Guard  , Wire Guards for Detectors and Manual Stations  2099-9800
C:\SVN\TC\Simplex\non-dita\Datasheets\Manual_Stations\S2099-0007\S2099-0007.docx,Manual Stations   , Non-Coded Manual Stations     2099 Series  4099-9805 NO GRIP Retrofit Kit
C:\SVN\TC\Simplex\non-dita\Datasheets\Manual_Stations\S2099-0008\S2099-0008.docx,Manual Station for Hazardous Locations (Killark XAL-53)   , Non-Coded Manual Stations     2099-9136
C:\SVN\TC\Simplex\non-dita\Datasheets\Manual_Stations\S2099-0009\S2099-0009.docx,Metal Stations including Explosion-Proof/Weather-Proof (SigCom)   , Non-Coded Manual Stations     2099-9138  -9139  -9143  & -9144
C:\SVN\TC\Simplex\non-dita\Datasheets\Releasing_Systems\S2099-0010\S2099-0010.docx,Non-Addressable Releasing Stations with application labels  [moved location 3/10/08 from Non-Addressable Initiating Devices  Manual Stations], Releasing Systems and Accessories     2099-9149  -9152
C:\SVN\TC\Simplex\non-dita\Datasheets\MAPNET_II\S2190-0012\S2190-0012.docx,MAPNET II Addressable Zone Adapter Modules (ZAMs) , MAPNET II Addressable Input/Output  2190 Series
C:\SVN\TC\Simplex\non-dita\Datasheets\MAPNET_II\S2190-0022\S2190-0022.docx,2-Point I/O Module  Provides Supervised Input & Control Relay Output , MAPNET II Addressable Input/Output  2190-9173
C:\SVN\TC\Simplex\non-dita\Datasheets\Voice_Power_Expansion\S4003-0002\S4003-0002.docx, 4003EC Voice Control Panels,LifeAlarm Fire Alarm Controls - Emergency Communication Systems and Mass Notification Systems  4003EC Voice Control Panels
C:\SVN\TC\Simplex\non-dita\Datasheets\Releasing_Systems\S4004-0002\S4004-0002.docx,4004R Suppression Release Panels , Releasing Systems and Accessories     4004-9301  4004-9302
C:\SVN\TC\Simplex\non-dita\Datasheets\Non_Addressable_Panels\S4006-0001\S4006-0001.docx,4006 Series Fire Alarm Control Panel,LifeAlarm Fire Alarm Control Panels - 4006 Series Fire Alarm Control Panels Providing up to Ten IDCs and Four NACs
C:\SVN\TC\Simplex\non-dita\Datasheets\Addressable_Panels\S4007-0001\S4007-0001.docx,4007ES Fire Control Panels  4007ES Hybrid  Fire Detection and Control Panel with Addressable and/or Conventional Initiation , Addressable Fire Alarm Control Panels      4007-9101  4007-9102
C:\SVN\TC\Simplex\non-dita\Datasheets\Addressable_Panels\S4007-0002\S4007-0002.docx,4007ES Fire Control Panels  Fire Detection and Control with Addressable Initiation and Addressable Notification  , Addressable Fire Alarm Control Panels      4007-9201  4007-9202  4007-9804
C:\SVN\TC\Simplex\non-dita\Datasheets\Releasing_Systems\S4007-0003\S4007-0003.docx,4007ES Automatic Extinguishing  Deluge and Preaction Sprinkler System Releasing Control , Releasing Systems and Accessories     2080-9056  2080-9057  2080-9059  2080-9060  2081-9046  2975-9227  4007-9830  4007-9830CAF  4090-9005  4090-9006  2975-9227  4090-9812
C:\SVN\TC\Simplex\non-dita\Datasheets\Voice_Power_Expansion\S4009-0002\S4009-0002.docx,4009 IDNet NAC Extender ,LifeAlarm Fire Alarm Controls 4009 IDNet NAC Extender for Control with IDNet Communications or Conventional NACs
C:\SVN\TC\Simplex\non-dita\Datasheets\Voice_Power_Expansion\S4009-0003\S4009-0003.docx,TrueAlert Addressable Operation Reference & 4009 Series TrueAlert Addressable Controller for installed system expansion , Expansion Panels for Voice and Power         4009-9401  4009-9402CA  4009-9501  4009-9812
C:\SVN\TC\Simplex\non-dita\Datasheets\Voice_Power_Expansion\S4009-0004\S4009-0004.docx,4009 IDNAC Repeater,TrueAlert Addressable Notification - 4009 IDNAC Repeater Power and Distance Extender
C:\SVN\TC\Simplex\non-dita\Datasheets\LED_Annunciators\S4010-0002\S4010-0002.docx,24 Point I/O Annunciators and 24 LED annunciator doors for the 4010 , LED Annunciators     4605 Series  4010-9860  -9860CAF  & -9861
C:\SVN\TC\Simplex\non-dita\Datasheets\Addressable_Panels\S4010-0004\S4010-0004.docx,4010ES Addressable Fire Detection and Control Basic Panel Modules and Accessories   , Addressable Fire Alarm Control Panels      4010-9401  4010-9402  4010-9403  4010-9404  4010-9405  4010-9406
C:\SVN\TC\Simplex\non-dita\Datasheets\Releasing_Systems\S4010-0005\S4010-0005.docx,4010ES Automatic Extinguishing  Deluge and Preaction Sprinkler System Releasing Control , Releasing Systems and Accessories     4010-9401  4010-9402  4010-9403  4010-9404  4010-9405  4010-9406  4010-9830  4010-9830CAF  4090-9005  4090-9006  2975-9277  4090-9812  2080-9046
C:\SVN\TC\Simplex\non-dita\Datasheets\International\S4010-0006\S4010-0006.docx,4010ES Addressable Fire Detection and Control Basic Panel Modules and Accessories   , International Products - Fire Alarm Control Panels and Accessories  4010 Series  4100-8802  4100-0292  4100-0295  4100-0296  4100-0298  4100-0650
C:\SVN\TC\Simplex\non-dita\Datasheets\International\S4010-0007\S4010-0007.docx,4010ES Automatic Extinguishing  Deluge and Preaction Sprinkler System Releasing Control , International Products - Fire Alarm Control Panels and Accessories  4010 Series  4090-9005  4090-9006  2975-9277  4090-9812  2080-9046
C:\SVN\TC\Simplex\non-dita\Datasheets\Addressable_Panels\S4010-0008\S4010-0008.docx,4100 Series Remote InfoAlarm Command Center for the 4010ES Fire Alarm Control Panel, Addressable Fire Alarm Control Panels      4100-9401  4100-9403  4100-9421  4100-9423  4100-9441  4100-9443
C:\SVN\TC\Simplex\non-dita\Datasheets\International\S4010-0009\S4010-0009.docx,InfoAlarm Command Center for the 4010ES Fire Alarm Control Panel, International Products - Fire Alarm Control Panels and Accessories  4100-9401  4100-9403  4100-9421  4100-9423  4100-9441  4100-9443
C:\SVN\TC\Simplex\non-dita\Datasheets\Addressable_Panels\S4010-0011\S4010-0011.docx,4010ES Fire Alarm Control Panel,4010ES Fire Control Panels - Addressable Fire Detection and Control Basic Panel Modules and Accessories 
C:\SVN\TC\Simplex\non-dita\Datasheets\International\S4010-0012\S4010-0012.docx,4010 ES Fire Control Panels  Addressable Fire Detection and Control  Basic Panel Modules and Accessories  with ESS for IDNAC Addressable Notification  for International Projects   , International Products - Fire Alarm Control Panels and Accessories  4010 Series
C:\SVN\TC\Simplex\non-dita\Datasheets\Batteries_Cabinets_Chargers\S4081-0001\S4081-0001.docx,External Battery Charger for 4010 , Batteries  Battery Cabinets  and Chargers     4081-9301  4081-9302
C:\SVN\TC\Simplex\non-dita\Datasheets\Batteries_Cabinets_Chargers\S4081-0002\S4081-0002.docx,4100ES/4100U/4010ES Compatible External Battery Cabinet with Charger  4081 Series, Batteries  Battery Cabinets  and Chargers     4081-9306  4081-9308  4100-9837  2081-9279
C:\SVN\TC\Simplex\non-dita\Datasheets\Misc_Devices_Kits\S4081-0003\S4081-0003.docx,End of line resistor harnesses for Class B wiring supervision,Miscellaneous Devices and Spare Parts Kits  4081 Series
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_MAPNET_II\S4090-0001\S4090-0001.docx,IDNet or MAPNET II Supervised IAM  , IDNet/MAPNET II Addressable Input/Output Devices    4090-9001  4090-9051
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_Beam_Detector\S4090-0002\S4090-0002.docx,IDNet Relay IAM  for use with 4100ES  4010ES  4100U  4008  and 4010 IDNet communications , IDNet Addressable Input/Output Devices and Beam Detectors  4090-9002
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_MAPNET_II\S4090-0003\S4090-0003.docx,IDNet or MAPNET II Zone Adapter Modules  , IDNet/MAPNET II Addressable Input/Output Devices    4090-9101 4090 -9106
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_Beam_Detector\S4090-0004\S4090-0004.docx,4090-9121 Security Monitor IAM (Individual Addressable Module), IDNet Addressable Input/Output Devices and Beam Detectors  4090-9121
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_Beam_Detector\S4090-0005\S4090-0005.docx,4090-9116 Addressable IDNet Isolator for 4007ES  4008  4010ES  4100ES  and 4100U Series Fire Alarm Controls, IDNet Addressable Input/Output Devices and Beam Detectors  4090-9116
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_Beam_Detector\S4090-0006\S4090-0006.docx,4090-9117 Addressable Power Isolator for 4100ES  4100U and 4010ES Series Fire Alarm Controls, IDNet Addressable Input/Output Devices and Beam Detectors  4090-9117
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_Beam_Detector\S4090-0007\S4090-0007.docx,4090-9118 Relay IAM (Individual Addressable Module) with T-Sense Input, IDNet Addressable Input/Output Devices and Beam Detectors  4090-9118
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_Beam_Detector\S4090-0008\S4090-0008.docx,4090-9119 Relay IAM (Individual Addressable Module) with Unsupervised Input, IDNet Addressable Input/Output Devices and Beam Detectors  4090-9119
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_Beam_Detector\S4090-0009\S4090-0009.docx,4090-9120 Six Point Module with Four T-Sense Inputs and Two Relay Outputs , IDNet Addressable Input/Output Devices and Beam Detectors  4090-9120
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_Beam_Detector\S4090-0010\S4090-0010.docx,IDNet Addressable Devices  Model 4090-9007 Signal IAM (Individual Addressable Module), IDNet Addressable Input/Output Devices and Beam Detectors  4090-9007
C:\SVN\TC\Simplex\non-dita\Datasheets\Device_Compatibility\S4090-0011\S4090-0011.docx,IDNet and MAPNET II Addressable Devices Device Communications Compatibility Chart  , Addressable Device Compatibility Reference  Addressable Devices  Multiple Series
C:\SVN\TC\Simplex\non-dita\Datasheets\International\S4090-0012\S4090-0012.docx,MX Technology Addressable Devices - IAMs  Monitor ZAMs  and Line Isolator, International Products - MX Technology Addressable Devices  4090-5201  4090-5202  4090-5203  4090-5204  4090-5205  4090-5206  4081-9020  4081-9021  4081-9022
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_MAPNET_II\S4090-0014\S4090-0014.docx,Model 4090-9008 Dual Contact Relay IAM , IDNet/MAPNET II Addressable Input/Output Devices    4090-9008  4090-9813  4090-9801  4090-9802
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_Beam_Detector\S4090-0015\S4090-0015.docx,Model 4090-9010  8 A Relay IAM  , IDNet Addressable Input/Output Devices and Beam Detectors  4090-9010
C:\SVN\TC\Simplex\non-dita\Datasheets\International\S4090-0016\S4090-0016.docx,MX Technology Addressable Devices  Model 4090-5250 Loop Powered Multiple I/O Module with Three Inputs and Two Outputs, International Products - MX Technology Addressable Devices  4090-5250
C:\SVN\TC\Simplex\non-dita\Datasheets\Heat_Detectors\S4098-0007\S4098-0007.docx,Electronic Heat Detectors  direct connect models  135F (57C) or 200F (93C)  available with or without rate-of-rise operation   , Heat Detectors     4098-9401  4098-9402  4098-9403  & 4098-9404
C:\SVN\TC\Simplex\non-dita\Datasheets\Heat_Detectors\S4098-0014\S4098-0014.docx,Electronic Heat Detectors for two-wire and four-wire bases  135F (57C) or 200F (93C)  available with or without rate-of-rise operation   , Heat Detectors     4098-9612  4098-9613  4098-9614  & 4098-9615
C:\SVN\TC\Simplex\non-dita\Datasheets\Photoelectric_Beam_Duct_Detectors\S4098-0015\S4098-0015.docx,TrueAlarm Photoelectric Smoke Detectors for Two-Wire and Four-Wire Bases   , Photoelectric Smoke Detectors  Beam and Duct Detectors     4098-9601  4098-9605 and bases
C:\SVN\TC\Simplex\non-dita\Datasheets\Photoelectric_Beam_Duct_Detectors\S4098-0017\S4098-0017.docx,TrueSense Photoelectric Detectors with Heat Detection   , Photoelectric Smoke Detectors  Beam and Duct Detectors     4098-9602
C:\SVN\TC\Simplex\non-dita\Datasheets\TrueAlarm_Addressable\S4098-0019\S4098-0019.docx,TrueAlarm Sensors and Bases (Sensors 4098-9714 and 4098-9733)  , TrueAlarm Addressable Analog Smoke and Heat Sensing Devices    4098 Series
C:\SVN\TC\Simplex\non-dita\Datasheets\TrueAlarm_Addressable\S4098-0021\S4098-0021.docx,TrueAlarm In-Duct Sensor Housing for 4098-9714 Photoelectric Smoke Sensor  , TrueAlarm Addressable Analog Smoke and Heat Sensing Devices    4098-9750  4098-9751
C:\SVN\TC\Simplex\non-dita\Datasheets\TrueAlarm_Addressable\S4098-0024\S4098-0024.docx,TrueAlarm Multi Sensor Model 4098-9754 Providing TrueSense Early Fire Detection, TrueAlarm Addressable Analog Smoke and Heat Sensing Devices    4098-9754
C:\SVN\TC\Simplex\non-dita\Datasheets\TrueAlarm_Addressable\S4098-0025\S4098-0025.docx,IDNet Isolator Base for 4007ES  4008  4010  4010ES  4100ES  and 4100U IDNet  , TrueAlarm Addressable Analog Smoke and Heat Sensing Devices    4098-9793
C:\SVN\TC\Simplex\non-dita\Datasheets\TrueAlarm_Addressable\S4098-0028\S4098-0028.docx,Sounder Base for use w/TrueAlarm Photoelectric and Heat Sensors  , TrueAlarm Addressable Analog Smoke and Heat Sensing Devices    4098-9794
C:\SVN\TC\Simplex\non-dita\Datasheets\Photoelectric_Beam_Duct_Detectors\S4098-0029\S4098-0029.docx,TrueAlarm Detector Duct Housing with Detector   , Photoelectric Smoke Detectors  Beam and Duct Detectors     4098-9685  4098-9686  4098-9688
C:\SVN\TC\Simplex\non-dita\Datasheets\TrueAlarm_Addressable\S4098-0030\S4098-0030.docx,TrueAlarm Sensor Duct Housing with Sensor    also compatible with model 4008 fire alarm control panel, TrueAlarm Addressable Analog Smoke and Heat Sensing Devices    4098-9755  4098-9756
C:\SVN\TC\Simplex\non-dita\Datasheets\Photoelectric_Beam_Duct_Detectors\S4098-0031\S4098-0031.docx,Stand Alone TrueAlarm Detector Duct housing with Detector, Photoelectric Smoke Detectors  Beam and Duct Detectors     4098-9687  4098-9842
C:\SVN\TC\Simplex\non-dita\Datasheets\TrueAlarm_Addr_Accessories\S4098-0032\S4098-0032.docx,Weatherproof Duct Housing Enclosure  , TrueAlarm Addressable Peripheral Accessories  4098-9845
